# Bilayer_constraint_testdata_d2o 
#  Q, R, dR, dQ
8.999999999999999320e-03 1.012347806476447287e+00 9.899578526911455290e-02 2.844000000000000282e-04
9.294239812571181494e-03 9.069585842637836182e-01 9.899578526911456677e-02 2.936979780772493902e-04
9.598099299287033218e-03 9.639482515405539687e-01 9.899578526911462228e-02 3.032999378574702709e-04
9.911892959160568950e-03 9.788343996287206528e-01 9.899578526911476106e-02 3.132158175094740043e-04
1.023594557321936063e-02 8.047231397540512976e-01 9.899578526911480270e-02 3.234558801137318385e-04
1.057059254065857191e-02 1.058201395661891198e+00 9.899578526911470555e-02 3.340307242848109177e-04
1.091618022598410224e-02 8.806207619215933313e-01 9.899578526911467780e-02 3.449512951410976759e-04
1.127306631750486614e-02 1.059192960182109067e+00 9.899578526911459453e-02 3.562288956331537875e-04
1.164162019754544537e-02 9.348621611760608019e-01 9.899578526911452514e-02 3.678751982424361224e-04
1.202222332476219312e-02 8.071220020808772544e-01 9.899578526911451126e-02 3.799022570624853348e-04
1.241526962895852550e-02 9.570389253928462958e-01 9.899578526917064691e-02 3.923225202750894652e-04
1.282116591880802861e-02 1.075244731513620211e+00 9.899578479627901828e-02 4.051488430343337254e-04
1.324033230290738196e-02 1.188572088973489871e+00 9.899061067456677021e-02 4.183945007718732883e-04
1.367320262459490593e-02 1.101013755451924370e+00 9.873387651674252197e-02 4.320732029371990497e-04
1.412022491098475878e-02 1.053544710390175387e+00 9.526746388500156870e-02 4.461991071871184355e-04
1.458186183668155715e-02 8.634357060258738281e-01 7.895959657779126617e-02 4.607868340391372631e-04
1.505859120265534180e-02 5.545145292665150105e-01 5.029012452402768091e-02 4.758514820039088538e-04
1.555090643077261525e-02 2.250898847666339686e-01 2.842599380937197578e-02 4.914086432124146813e-04
1.605931707449512885e-02 1.697620873636608019e-01 1.797726050966694938e-02 5.074744195540460733e-04
1.658434934627520813e-02 1.196012572770995264e-01 1.269441976545055556e-02 5.240654393422965835e-04
1.712654666219333432e-02 9.360879931229949824e-02 9.438337982491384892e-03 5.411988745253093784e-04
1.768647020440172052e-02 6.826840035108580618e-02 7.219631438043803279e-03 5.588924584590944334e-04
1.826469950195606234e-02 5.889205120877558097e-02 5.628067345075812161e-03 5.771645042618115794e-04
1.886183303063657460e-02 4.704932099078281554e-02 4.447631627235537448e-03 5.960339237681158654e-04
1.947848883237919201e-02 3.861195271221055242e-02 3.550968002390317377e-03 6.155202471031825766e-04
2.011530515495799434e-02 3.403475208044154376e-02 2.857492380588771974e-03 6.356436428966727187e-04
2.077294111258100665e-02 2.128927332760532920e-02 2.313590064277317761e-03 6.564249391575598417e-04
2.145207736808301541e-02 1.781730814059820714e-02 1.882209381472591068e-03 6.778856448314233164e-04
2.215341683742162379e-02 1.364314749469820037e-02 1.536968359531142156e-03 7.000479720625233304e-04
2.287768541720542476e-02 1.294563631243845873e-02 1.258622406532530769e-03 7.229348591836914787e-04
2.362563273600777267e-02 1.105839121065524573e-02 1.032849965877213677e-03 7.465699944578457021e-04
2.439803293024318115e-02 8.174885547368931221e-03 8.488126639800736180e-04 7.709778405956845861e-04
2.519568544540989538e-02 9.233428621283264540e-03 6.981900943667536776e-04 7.961836600749528162e-04
2.601941586352767358e-02 7.578960091773985150e-03 5.745158524951523215e-04 8.222135412874746101e-04
2.687007675762725228e-02 5.407549664895391558e-03 4.727105525169618622e-04 8.490944255410212563e-04
2.774854857417588180e-02 4.308804913996738817e-03 3.887469875212826100e-04 8.768541349439579625e-04
2.865574054435231569e-02 2.768466958154944951e-03 3.194059478839088783e-04 9.055214012015332103e-04
2.959259162511441998e-02 2.673359123625914779e-03 2.620954688369496271e-04 9.351258953536157681e-04
3.056007147103322746e-02 2.265136276026721504e-03 2.147152357196748787e-04 9.656982584846501025e-04
3.155918143789979147e-02 1.804125706319745486e-03 1.755536448600570135e-04 9.972701334376335262e-04
3.259095561914285982e-02 1.329107892615201533e-03 1.432088127516272045e-04 1.029874197564914365e-03
3.365646191613091281e-02 1.180744665465985332e-03 1.165273706932756401e-04 1.063544196549737024e-03
3.475680314346554778e-02 9.518559165779839079e-04 9.455662151815435968e-05 1.098314979333511396e-03
3.589311817041076352e-02 8.092946272444886697e-04 7.650684178570125961e-05 1.134222534184980155e-03
3.706658309963933862e-02 7.961775206069245580e-04 6.172136024110579957e-05 1.171304025948603257e-03
3.827841248451625822e-02 6.203730077837272400e-04 4.965264983504936937e-05 1.209597834510713977e-03
3.952986058617922321e-02 4.279848533530594538e-04 3.984310821088924196e-05 1.249143594523263604e-03
